Title,Sub_title,Price in Euro per month,Features,Surface_area,No of rooms,Agent
Apartment Rustenburgerstraat 146 A20,1073 GJ Amsterdam (Nieuwe Pijp),2300,Furnished,55,3,ViaDaan
Apartment Herculesstraat,1076 SM Amsterdam (Stadionbuurt),2250,Furnished,65,3,Klok Real Estate
Apartment Willem Frederik Hermansstraat 69,1011 DG Amsterdam (Nieuwmarkt/Lastage),3750,Upholstered,122,4,Renthouse Vastgoed
Apartment Prinseneiland 50 2L,1013 LR Amsterdam (Haarlemmerbuurt),2700,Furnished,110,3,Renthouse Vastgoed
Apartment Marco Polostraat 263 3,1056 DM Amsterdam (Van Galenbuurt),1700,Upholstered or furnished,50,2,HousingNet
Apartment Europaplein,1078 GZ Amsterdam (Scheldebuurt),2200,Upholstered,95,4,Aham Vastgoed
Apartment Nicolaas Maesstraat 65 3,1071 PR Amsterdam (Museumkwartier),2500,²3 rooms1906-1930,62,3,Recourt Makelaars
Apartment Baarsjesweg 250 3,1058 AB Amsterdam (Westindische Buurt),2500,Furnished,90,2,Expat Rental Scout
House Balearenlaan 82,1060 TM Amsterdam (Middelveldsche Akerpolder),2750,Furnished,210,7,EHR Amsterdam
Apartment Willem Augustinstraat,1061 MJ Amsterdam (De Kolenkit),1800,Furnished,71,2,Hendriks Housing
Apartment Koningin Wilhelminaplein,1062 KS Amsterdam (Westlandgracht),2100,²3 rooms2016,80,3,Wooove B.V.
Apartment Rapenburgerstraat 155 D,1011 VM Amsterdam (Nieuwmarkt/Lastage),2200,Upholstered,75,3,Amsterdam Wonen
Apartment Tweede Anjeliersdwarsstraat 22 A,1015 NT Amsterdam (Jordaan),1495,Upholstered,45,2,LIV Residential
Apartment Eerste Sweelinckstraat,1073 CM Amsterdam (Oude Pijp),2825,Furnished,98,4,BIC Makelaardij
Apartment Reijnier Vinkeleskade 64 D,1071 SX Amsterdam (Museumkwartier),5000,Upholstered,120,4,Broersma Makelaardij
Apartment Waldeck Pyrmontlaan 4 IV,1075 BV Amsterdam (Willemspark),3500,²3 rooms1906-1930,120,3,Valerius Rentals
Apartment Hagedoornplein 20,1031 BV Amsterdam (Volewijck),4000,Upholstered,141,5,DSTRCT Amsterdam
Apartment Javastraat 48 2,1094 HJ Amsterdam (Indische Buurt West),1750,Furnished,55,2,Yourhome Makelaars
Apartment Omval,1096 AA Amsterdam (Omval/Overamstel),2250,Upholstered,97,3,Ankersmit Makelaars Amsterdam
Apartment Tweede van Swindenstraat 186 H,1093 XA Amsterdam (Dapperbuurt),2750,Furnished,75,3,JLG Real Estate
Apartment Binnenkant,1011 BR Amsterdam (Nieuwmarkt/Lastage),1750,Before 1906,63,2,Keij & Stefels Makelaars en Taxateurs
Apartment Kalkmarkt,1011 BC Amsterdam (Nieuwmarkt/Lastage),2995,Furnished,125,5,HouseHunting Randstad
Apartment Kalkmarkt,1011 BC Amsterdam (Nieuwmarkt/Lastage),2750,Furnished,95,3,HouseHunting Randstad
Apartment De Clercqstraat,1052 NH Amsterdam (Da Costabuurt),2150,Furnished,67,1,123Wonen Amsterdam
Studio Windjammerdijk,1086 VC Amsterdam (IJburg West),1600,Furnished,65,1,123Wonen Amsterdam
Apartment Cliostraat,1077 KA Amsterdam (Apollobuurt),2250,Furnished,70,3,Amsterdam Rentals
Apartment Hoofdweg,1055 SC Amsterdam (De Kolenkit),2150,Furnished,100,3,Housing Experts
Apartment Willem Frederik Hermansstraat,1011 DG Amsterdam (Nieuwmarkt/Lastage),5000,Furnished,170,5,Roomservice Amsterdam
Apartment Falckstraat 49 3,1017 VV Amsterdam (De Weteringschans),3500,Upholstered,140,4,HousingNet
Apartment Kleiburg 518,"1104 EA Amsterdam (Bijlmer Oost (E,G,K))",1550,Upholstered,75,3,HousingNet
Apartment Ponserstraat 26,1033 DL Amsterdam (Tuindorp Oostzaan),1850,Furnished,60,2,Oei Housing Amsterdam - Expat Apartments
Apartment Rustenburgerstraat 146 A20,1073 GJ Amsterdam (Nieuwe Pijp),2300,Furnished,55,3,ViaDaan
Apartment Willem Frederik Hermansstraat,1011 DG Amsterdam (Nieuwmarkt/Lastage),2150,Furnished,68,2,Roomservice Amsterdam
Apartment IJburglaan,1087 EN Amsterdam (IJburg West),2500,Furnished,96,3,Expats. Amsterdam Rentals
Apartment Zeeburgerdijk,1094 AJ Amsterdam (Indische Buurt West),2000,Upholstered,68,3,Interhouse verhuurmakelaars Amsterdam
Apartment Eerste Nassaustraat,1052 BH Amsterdam (Staatsliedenbuurt),2950,Furnished,100,3,Expats. Amsterdam Rentals
Apartment Ridderspoorweg,1032 LL Amsterdam (Noordelijke IJ-oevers West),3250,Furnished,98,3,Brinkman Fine Real Estate
Apartment Dusartstraat,1072 HT Amsterdam (Nieuwe Pijp),2150,Upholstered,67,2,LV Housing
Apartment Lutmastraat 34 C,1072 PJ Amsterdam (Nieuwe Pijp),1800,Upholstered or furnished,75,3,HousingNet
Apartment Jan van Duivenvoordestraat 157,1067 MT Amsterdam (Geuzenveld),2100,Furnished,94,3,Expat Rental Scout
Apartment Wittgensteinlaan,1062 KJ Amsterdam (Westlandgracht),2000,Furnished,88,3,Out Amsterdam
Apartment Koninginneweg 225 2,1075 CS Amsterdam (Willemspark),3450,Furnished,75,3,Parker & Williams Real Estate Services
Apartment August Allebéplein 195,1062 AB Amsterdam (Overtoomse Veld),1495,Upholstered,53,3,LIV Residential
Apartment August Allebéplein 105,1062 AB Amsterdam (Overtoomse Veld),1495,Upholstered,53,3,LIV Residential
Apartment Zocherstraat 12 4,1054 LX Amsterdam (Overtoomse Sluis),2295,²4 rooms1906-1930,90,4,Rappange Makelaardij
Apartment Céramiquelaan,1031 KG Amsterdam (Noordelijke IJ-oevers West),2350,Upholstered,70,3,Interhouse verhuurmakelaars Amsterdam
Apartment Rosmarijnsteeg,1012 RP Amsterdam (Burgwallen-Nieuwe Zijde),2100,Furnished,50,2,Housing Agency
Apartment Jan van Riebeekstraat 26 3,1057 ZZ Amsterdam (Chassébuurt),1695,Upholstered,60,3,ViaDaan
Studio Nieuwezijds Voorburgwal,1012 RK Amsterdam (Burgwallen-Nieuwe Zijde),925,Upholstered or furnished,26,1,Central Rentals B.V.
Apartment Ertskade 178,1019 BB Amsterdam (Oostelijk Havengebied),1775,Upholstered,78,3,LIV Residential
Apartment Andreas Schelfhoutstraat,1058 HV Amsterdam (Hoofddorppleinbuurt),1500,Furnished,50,2,Housing Agency
Apartment Stadionweg 37 III,1077 RW Amsterdam (Apollobuurt),6250,Upholstered,232,6,Valerius Rentals
Apartment Ombilinstraat,1094 NV Amsterdam (Indische Buurt West),2250,Upholstered or furnished,88,3,Kapitaal Kompas B.V.
Apartment Boutenburg 231,1068 ZE Amsterdam (Osdorp-Oost),2500,Furnished,65,3,Amsterdam Housing
Apartment Overtoom 216 IV,1054 HZ Amsterdam (Helmersbuurt),1950,Upholstered,65,2,Alcoco.nl
Apartment Avercampstraat 62,1072 RB Amsterdam (Nieuwe Pijp),1850,Furnished,60,3,Peter Bruin Makelaardij
Apartment Rijnstraat,1078 PW Amsterdam (IJselbuurt),2650,Upholstered,72,3,BIC Makelaardij
Room Langswater,1069 EC Amsterdam (De Punt),700,Furnished,15,1,LV Housing
Apartment Egelantiersgracht 83 3,1015 RE Amsterdam (Jordaan),2850,Upholstered,90,3,House of Rentals
Apartment Vespuccistraat,1057 CK Amsterdam (Hoofdweg e.o.),1900,Upholstered,56,3,BIC Makelaardij
Apartment Rietlandpark,1019 DS Amsterdam (Oostelijk Havengebied),2000,Furnished,80,3,Housing Experts
Apartment Bellamystraat,1053 BG Amsterdam (Kinkerbuurt),3950,²,100,4,Van Maarschalkerwaart Makelaars
Apartment Rustenburgerstraat 146 A20,1073 GJ Amsterdam (Nieuwe Pijp),2300,Furnished,55,3,ViaDaan
Apartment Derde Hugo de Grootstraat,1052 LK Amsterdam (Frederik Hendrikbuurt),1850,Upholstered,51,2,Engel en Volkers Amsterdam Centrum
Apartment Kastanjeweg 2 HS,1092 CE Amsterdam (Oosterparkbuurt),3250,²,130,4,Smit & Heinen Makelaars en Taxateurs
